k1	th1	k2	th2	k3	th3	err
5.566324708801223	26.667040918413992	10.747433327483538	2.2094537734473487	7.116621188448612	23.738709652788515	6.381642319181349e-05
14.296928994149129	78.345149819858	25.707748913393615	2.818542843766083	15.54311481368306	75.2247355697967	2.7898274765521483e-06
8.734896148497288	42.53488991489859	21.23008299519114	2.941075762660751	10.852571440230877	38.37925509095981	2.077435406612091e-05
5.186821212794304	76.67814854929446	7.272520658277127	1.4268531163920073	5.440127647949671	74.88700141188026	6.028996302911672e-06
14.672356384550742	71.20463713178047	19.006279620702482	0.13556845694201736	14.729371260263385	71.06555261225239	1.4898757525559654e-07
6.7975602134562125	19.10568104687738	21.939980784420737	1.902898794362222	10.371667631484984	15.711521805834835	0.00010249586320616933
12.377036223861168	97.97682498381643	6.094489810311461	0.11041164426914181	15.811376783260586	77.99724621180017	5.800126858086008e-05
10.84643188999695	69.55394885265663	2.9334147796705543	0.7264093715411534	10.895020742197952	69.43223142994245	4.5383161891193857e-07
22.077509808400936	83.24871345797729	1.522278803245425	1.9454598576903515	14.511528841746468	124.04067166289809	7.612080642362675e-05
3.3733272259343887	46.21652497139894	0.6135522907869183	2.6531753386946924	nan	nan	nan
23.027815739558484	8.223418337066237	7.60435462168696	1.199163957639946	24.956784717271635	7.926812020020481	1.2200950666988255e-05
17.41280525754768	101.2673477950804	29.065413240371154	2.081968587497178	18.1876304868064	99.12052159920437	9.393779549933894e-07
22.588909815526595	81.04329602133882	0.7727849418247205	2.401493189587463	nan	nan	nan
23.826668818095634	15.105726340305877	19.24540977579228	2.3851305187816987	27.988196317370445	14.077046403492936	1.0828538225807803e-05
9.982217264520555	22.76306299858428	13.237321597937628	2.9957892491639355	12.757623962401965	20.364219429859794	3.209767429102269e-05
18.3222257367293	14.327587624481149	18.281714763352863	2.1055545510422933	22.121081927299493	13.178829927663577	1.8549094454159736e-05
9.68663294526337	88.51998925853209	0.8439649350559992	0.2598260047824842	nan	nan	nan
15.775277732108899	43.65253564366845	6.866169866710002	2.4776565963989183	16.491457439859268	42.72330589505029	2.367809886078752e-06
